1,1,417.5197620962,250.9511087538,1
1,7,427.2939094495,740.0533143101,3
2,1,417.3668832839,256.671121859,1
2,7,427.2939094495,740.0533143101,3
3,1,416.8441139431,272.6514101921,1
3,7,427.2939094495,740.0533143101,3
4,1,416.2083292376,291.5023997422,1
4,7,427.2939094495,740.0533143101,3
5,1,415.1845301081,310.9684159683,1
5,7,427.2939094495,740.0533143101,3
6,1,414.115022024,327.8371860754,1
6,7,427.2939094495,740.0533143101,3
7,1,412.6293234555,343.5881100147,1
7,7,427.2939094495,740.0533143101,3
8,1,410.6368775687,359.3443997191,1
8,7,427.2939094495,740.0533143101,3
9,1,408.8562367649,377.0100095096,1
9,7,427.2939094495,740.0533143101,3
10,1,406.3203996193,392.2771900906,1
10,7,427.2939094495,740.0533143101,3
11,1,404.7601982046,412.0752149867,1
11,7,427.2939094495,740.0533143101,3
12,1,402.8947086125,429.5438547776,1
12,7,427.2939094495,740.0533143101,3
13,1,402.9667833191,447.5372057436,1
13,7,427.2939094495,740.0533143101,3
14,1,402.7127887594,464.7983630666,1
14,7,427.2939094495,740.0533143101,3
15,1,402.6002146751,483.4324595696,1
15,7,427.2939094495,740.0533143101,3
16,1,402.104623141,504.1286537102,1
16,7,427.2939094495,740.0533143101,3
17,1,402.097089665,522.718673197,1
17,7,427.2939094495,740.0533143101,3
18,1,401.149167233,541.449774712,1
18,2,420.0539825228,158.5347912215,1
18,3,436.9021352931,156.8552239393,1
18,4,447.6769216582,152.4657590298,1
18,7,427.2939094495,740.0533143101,3
19,1,400.0905792858,560.3439534898,1
19,2,419.1572777275,164.4444005451,1
19,3,435.7893836198,170.1161579917,1
19,4,445.8735626657,161.5913126255,1
19,7,427.2939094495,740.0533143101,3
20,1,398.363142069,575.7000596958,1
20,2,417.2346257632,178.9948073853,1
20,3,432.8000460289,186.1177351244,1
20,4,442.2343474382,175.8661865576,1
20,7,427.2939094495,740.0533143101,3
21,1,396.2874502033,589.7356098765,1
21,2,414.520937059,195.9261635338,1
21,3,429.3099732746,203.3194535492,1
21,4,439.7148295897,195.9882758743,1
21,7,427.2939094495,740.0533143101,3
21,17,417.4020185893,1005.453826045,1
22,1,391.8000059819,604.5413231269,1
22,2,412.0654849416,213.2806668538,1
22,3,425.7693778892,214.5951011731,1
22,4,437.3501953536,208.9514782955,1
22,7,427.2939094495,740.0533143101,3
22,17,412.9647916945,1011.3052120385,1
23,1,385.9094247544,619.9485697325,1
23,2,409.6999143296,225.7000666145,1
23,3,424.4380153109,230.1063685755,1
23,4,436.0339568986,224.5229682373,1
23,7,427.2939094495,740.0533143101,3
23,17,405.7672530972,1024.0693948411,1
23,18,421.195919003,1020.7343580275,1
24,1,379.9875983929,634.4708513435,1
24,2,409.2603099241,243.272117184,1
24,3,424.4929177941,246.9878193034,1
24,4,434.2611995618,236.5745125065,1
24,7,427.2939094495,740.0533143101,3
24,17,398.2457661516,1039.2208232022,1
24,18,418.8906892774,1027.4565076383,1
25,1,374.5088017289,646.902048131,1
25,2,407.7391806333,258.8849633852,1
25,3,424.2763447068,266.2780494294,1
25,4,433.5905854133,250.3389364703,1
25,7,427.2939094495,740.0533143101,3
25,17,392.001568529,1054.4709206384,1
25,18,412.5690609448,1043.0068833698,1
26,1,369.8444060487,663.7466505418,1
26,2,406.4664954798,280.5346604229,1
26,3,423.3759748074,280.9255558161,1
26,4,433.1858354073,266.21324742,1
26,7,427.2939094495,740.0533143101,3
26,17,386.1955841577,1071.7174779281,1
26,18,407.5434307228,1058.9368765783,1
27,1,364.5323689877,681.3969189895,1
27,2,405.8543005713,297.0874350927,1
27,3,422.1458064625,295.9473164786,1
27,4,434.1390414755,282.5988024343,1
27,7,427.2939094495,740.0533143101,3
27,17,383.204083492,1087.4895887157,1
27,18,402.1267427607,1074.1200917984,1
28,1,358.464826108,699.1874203757,1
28,2,406.2463366621,312.8036588866,1
28,3,422.31058509,301.8814377784,1
28,4,434.1903041365,299.5375135761,1
28,7,427.2939094495,740.0533143101,3
28,17,381.679031457,1104.6304210064,1
28,18,398.7309864586,1088.345542707,1
28,19,268.9744410594,1264.5997009797,1
29,1,350.7748958181,717.8732864029,1
29,2,406.547906903,325.8142500281,1
